Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player-additional
262,Jordan Goodwin,25,PHO,PG,40,0,558,75,193,.389,23,80,.288,52,113,.460,.448,25,29,.862,40,77,117,78,23,9,29,43,198,0,,goodwjo01
262,Jordan Goodwin,25,MEM,PG,17,12,497,66,189,.349,19,61,.311,47,128,.367,.399,19,30,.633,48,88,136,77,25,9,27,33,170,0,,goodwjo01
263,Jordan Nwora,25,2TM,SF,52,1,712,138,299,.462,44,131,.336,94,168,.560,.535,44,53,.830,28,121,149,62,26,13,53,48,364,0,,nworajo01
263,Jordan Nwora,25,IND,SF,18,0,183,37,82,.451,11,36,.306,26,46,.565,.518,9,11,.818,8,25,33,18,6,1,12,19,94,0,,nworajo01
263,Jordan Nwora,25,TOR,SF,34,1,529,101,217,.465,33,95,.347,68,122,.557,.541,35,42,.833,20,96,116,44,20,12,41,29,270,0,,nworajo01
264,Quentin Grimes,23,2TM,SG,51,18,1025,122,328,.372,81,240,.338,41,88,.466,.495,34,45,.756,15,85,100,66,35,7,28,75,359,0,,grimequ01
264,Quentin Grimes,23,NYK,SG,45,18,910,113,286,.395,77,212,.363,36,74,.486,.530,24,34,.706,14,74,88,52,30,3,21,66,327,0,,grimequ01
264,Quentin Grimes,23,DET,SG,6,0,115,9,42,.214,4,28,.143,5,14,.357,.262,10,11,.909,1,11,12,14,5,4,7,9,32,0,,grimequ01
265,Jevon Carter,28,CHI,PG,72,0,1004,138,365,.378,77,234,.329,61,131,.466,.484,4,7,.571,11,49,60,94,37,16,36,71,357,0,,carteje01
266,Kris Dunn,29,UTA,PG,66,32,1249,147,313,.470,41,111,.369,106,202,.525,.535,22,32,.688,50,139,189,254,68,28,79,135,357,0,,dunnkr01
267,Dyson Daniels,20,NOP,PG,61,16,1358,139,311,.447,42,135,.311,97,176,.551,.514,34,53,.642,62,174,236,164,85,25,59,101,354,0,,daniedy01
268,Matisse Thybulle,26,POR,SF,65,19,1487,126,317,.397,80,231,.346,46,86,.535,.524,22,29,.759,30,106,136,90,113,49,40,93,354,0,,thybuma01
269,Nikola Jović,20,MIA,PF,46,38,896,127,281,.452,65,163,.399,62,118,.525,.568,33,47,.702,25,167,192,90,25,14,42,82,352,0,,jovicni01
270,Doug McDermott,32,2TM,SF,64,0,904,123,284,.433,94,229,.410,29,55,.527,.599,11,19,.579,10,49,59,70,16,2,28,64,351,0,,mcderdo01
270,Doug McDermott,32,SAS,SF,46,0,700,95,215,.442,76,173,.439,19,42,.452,.619,10,17,.588,8,40,48,57,11,2,24,48,276,0,,mcderdo01
270,Doug McDermott,32,IND,SF,18,0,204,28,69,.406,18,56,.321,10,13,.769,.536,1,2,.500,2,9,11,13,5,0,4,16,75,0,,mcderdo01
271,Larry Nance Jr.,31,NOP,C,61,0,1216,138,241,.573,27,65,.415,111,176,.631,.629,47,61,.770,94,213,307,113,61,19,49,98,350,0,,nancela02
272,Christian Wood,28,LAL,PF,50,1,872,123,264,.466,35,114,.307,88,150,.587,.532,66,94,.702,39,215,254,49,16,33,50,72,347,0,,woodch01
273,Markelle Fultz,25,ORL,PG,43,18,910,154,326,.472,4,18,.222,150,308,.487,.479,23,33,.697,56,82,138,120,42,15,50,65,335,0,,fultzma01
274,Luke Kornet,28,BOS,C,63,7,983,142,203,.700,1,1,1.000,141,202,.698,.702,49,54,.907,118,143,261,67,23,61,21,77,334,0,,kornelu01
275,Kevon Looney,27,GSW,C,74,36,1195,139,233,.597,0,1,.000,139,232,.599,.597,56,83,.675,143,276,419,133,28,29,50,155,334,0,,looneke01
276,Chimezie Metu,26,2TM,C,51,12,859,123,244,.504,28,94,.298,95,150,.633,.561,58,64,.906,41,153,194,46,43,16,52,71,332,0,,metuch01
276,Chimezie Metu,26,PHO,C,37,5,448,66,130,.508,15,51,.294,51,79,.646,.565,38,43,.884,24,86,110,19,19,9,27,39,185,0,,metuch01
276,Chimezie Metu,26,DET,C,14,7,411,57,114,.500,13,43,.302,44,71,.620,.557,20,21,.952,17,67,84,27,24,7,25,32,147,0,,metuch01
277,Landry Shamet,26,WAS,SG,46,5,726,118,274,.431,53,157,.338,65,117,.556,.527,38,46,.826,16,46,62,54,25,10,30,76,327,0,,shamela01
278,Garrison Mathews,27,ATL,SG,66,5,992,103,226,.456,85,193,.440,18,33,.545,.644,34,42,.810,17,75,92,37,20,8,19,115,325,0,,mathega01
279,Kenrich Williams,29,OKC,PF,69,1,1029,131,280,.468,56,141,.397,75,139,.540,.568,7,14,.500,61,148,209,93,38,9,32,101,325,0,,willike04
280,Chris Boucher,31,TOR,PF,50,0,705,110,217,.507,31,94,.330,79,123,.642,.578,71,92,.772,62,145,207,23,14,24,28,68,322,0,,bouchch01
281,Nicolas Batum,35,2TM,PF,60,38,1529,116,256,.453,73,185,.395,43,71,.606,.596,15,21,.714,70,178,248,128,48,38,40,109,320,0,,batumni01
281,Nicolas Batum,35,LAC,PF,3,0,54,3,8,.375,2,7,.286,1,1,1.000,.500,0,0,,0,7,7,5,3,4,1,5,8,0,,batumni01
281,Nicolas Batum,35,PHI,PF,57,38,1475,113,248,.456,71,178,.399,42,70,.600,.599,15,21,.714,70,171,241,123,45,34,39,104,312,0,,batumni01
282,Anthony Black,20,ORL,PG,69,33,1164,115,247,.466,37,94,.394,78,153,.510,.540,49,80,.613,33,106,139,91,35,21,56,110,316,0,,blackan01
283,Marcus Morris,34,2TM,PF,49,7,817,116,264,.439,48,119,.403,68,145,.469,.530,36,44,.818,23,111,134,36,15,13,30,74,316,0,,morrima03
283,Marcus Morris,34,PHI,PF,37,7,637,90,205,.439,36,90,.400,54,115,.470,.527,31,36,.861,18,91,109,26,13,11,19,61,247,0,,morrima03
283,Marcus Morris,34,CLE,PF,12,0,180,26,59,.441,12,29,.414,14,30,.467,.542,5,8,.625,5,20,25,10,2,2,11,13,69,0,,morrima03
284,Jae Crowder,33,MIL,PF,50,25,1156,114,270,.422,58,166,.349,56,104,.538,.530,26,36,.722,31,130,161,66,38,9,23,74,312,0,,crowdja01
285,Goga Bitadze,24,ORL,C,62,33,957,126,209,.603,2,14,.143,124,195,.636,.608,57,87,.655,109,177,286,79,32,72,44,107,311,0,,bitadgo01
286,Keon Ellis,24,SAC,SG,57,21,978,107,232,.461,70,168,.417,37,64,.578,.612,26,35,.743,32,92,124,85,51,29,37,112,310,0,,elliske01
287,Torrey Craig,33,CHI,SF,53,14,1049,108,251,.430,60,153,.392,48,98,.490,.550,27,36,.750,69,148,217,58,30,21,32,110,303,0,,craigto01
288,Jaxson Hayes,23,LAL,C,70,5,877,126,175,.720,0,8,.000,126,167,.754,.720,51,82,.622,69,142,211,33,34,29,43,123,303,0,,hayesja02
289,Bryce McGowens,21,CHO,SG,59,14,882,101,230,.439,34,102,.333,67,128,.523,.513,66,85,.776,17,85,102,51,21,10,30,74,302,0,,mcgowbr01
290,Nick Smith Jr.,19,CHO,SG,51,0,729,113,289,.391,63,146,.432,50,143,.350,.500,13,15,.867,18,54,72,59,10,7,39,55,302,0,,smithni01
291,Joe Ingles,36,ORL,SF,68,0,1169,99,227,.436,70,161,.435,29,66,.439,.590,28,34,.824,18,124,142,203,43,5,67,88,296,0,,inglejo01
292,Taylor Hendricks,20,UTA,PF,40,23,856,108,240,.450,53,140,.379,55,100,.550,.560,23,29,.793,46,139,185,32,28,30,27,77,292,0,,hendrta01
293,Dean Wade,27,CLE,PF,54,32,1108,96,232,.414,79,202,.391,17,30,.567,.584,20,26,.769,37,181,218,43,40,25,20,93,291,0,,wadede01
294,Dāvis Bertāns,31,2TM,PF,43,1,674,92,234,.393,76,200,.380,16,34,.471,.556,30,33,.909,9,52,61,35,26,12,18,56,290,0,,bertada01
294,Dāvis Bertāns,31,OKC,PF,15,0,91,10,26,.385,10,24,.417,0,2,.000,.577,14,15,.933,2,8,10,9,3,3,1,10,44,0,,bertada01
294,Dāvis Bertāns,31,CHO,PF,28,1,583,82,208,.394,66,176,.375,16,32,.500,.553,16,18,.889,7,44,51,26,23,9,17,46,246,0,,bertada01
295,Killian Hayes,22,DET,PG,42,31,1008,117,283,.413,22,74,.297,95,209,.455,.452,33,50,.660,11,108,119,205,36,20,51,75,289,0,,hayeski01
296,Marcus Smart,29,MEM,PG,20,20,605,102,237,.430,42,134,.313,60,103,.583,.519,43,56,.768,6,47,53,86,41,5,62,53,289,0,,smartma01
297,Craig Porter Jr.,23,CLE,PG,51,6,649,116,228,.509,12,34,.353,104,194,.536,.535,41,56,.732,21,88,109,118,21,15,45,40,285,0,,portecr01
298,Max Christie,20,LAL,SG,67,7,944,103,241,.427,42,118,.356,61,123,.496,.515,36,46,.783,15,127,142,60,20,17,35,57,284,0,,chrisma02
299,Xavier Tillman Sr.,25,2TM,PF,54,15,974,121,279,.434,20,81,.247,101,198,.510,.470,22,50,.440,70,141,211,77,51,44,34,75,284,0,,tillmxa01
299,Xavier Tillman Sr.,25,MEM,C,34,13,700,87,213,.408,12,53,.226,75,160,.469,.437,18,43,.419,56,101,157,57,42,35,29,60,204,0,,tillmxa01
299,Xavier Tillman Sr.,25,BOS,PF,20,2,274,34,66,.515,8,28,.286,26,38,.684,.576,4,7,.571,14,40,54,20,9,9,5,15,80,0,,tillmxa01
300,Bruno Fernando,25,ATL,C,45,2,682,109,187,.583,0,4,.000,109,183,.596,.583,64,96,.667,59,134,193,46,25,28,44,107,282,0,,fernabr01
301,Danilo Gallinari,35,3TM,SF,49,0,630,83,190,.437,30,93,.323,53,97,.546,.516,84,98,.857,20,88,108,55,14,6,23,50,280,0,,gallida01
301,Danilo Gallinari,35,WAS,PF,26,0,385,57,131,.435,20,64,.313,37,67,.552,.511,47,56,.839,12,64,76,31,6,3,12,26,181,0,,gallida01
301,Danilo Gallinari,35,DET,SF,6,0,90,12,22,.545,7,12,.583,5,10,.500,.705,21,24,.875,2,12,14,12,2,2,1,9,52,0,,gallida01
301,Danilo Gallinari,35,MIL,SF,17,0,155,14,37,.378,3,17,.176,11,20,.550,.419,16,18,.889,6,12,18,12,6,1,10,15,47,0,,gallida01
302,Josh Okogie,25,PHO,SG,60,11,960,86,206,.417,29,94,.309,57,112,.509,.488,76,102,.745,74,80,154,64,48,24,36,68,277,0,,okogijo01
303,Jaylin Williams,21,OKC,C,69,1,897,95,228,.417,53,144,.368,42,84,.500,.533,33,41,.805,36,198,234,110,28,27,34,98,276,0,,willija07
304,Jock Landale,28,HOU,C,56,3,763,106,206,.515,10,40,.250,96,166,.578,.539,52,65,.800,88,84,172,65,20,33,31,74,274,0,,landajo01
305,Lamar Stevens,26,2TM,PF,38,3,559,108,240,.450,14,46,.304,94,194,.485,.479,42,54,.778,36,91,127,28,23,22,24,45,272,0,,stevela01
305,Lamar Stevens,26,BOS,PF,19,1,122,21,45,.467,3,8,.375,18,37,.486,.500,8,11,.727,12,19,31,8,6,5,9,14,53,0,,stevela01
305,Lamar Stevens,26,MEM,PF,19,2,437,87,195,.446,11,38,.289,76,157,.484,.474,34,43,.791,24,72,96,20,17,17,15,31,219,0,,stevela01
306,Scotty Pippen Jr.,23,MEM,PG,21,16,527,100,203,.493,30,72,.417,70,131,.534,.567,41,55,.745,22,45,67,98,36,10,56,60,271,0,,pippesc02
307,Blake Wesley,20,SAS,SG,61,3,876,102,215,.474,12,55,.218,90,160,.563,.502,52,78,.667,18,76,94,166,29,9,55,89,268,0,,weslebl01
308,Jae'Sean Tate,28,HOU,SF,65,9,1031,108,229,.472,23,77,.299,85,152,.559,.522,26,39,.667,61,136,197,64,42,15,37,137,265,0,,tateja01
309,Cam Reddish,24,LAL,SF,48,26,984,91,234,.389,37,110,.336,54,124,.435,.468,41,54,.759,27,72,99,48,47,14,31,64,260,0,,reddica01
310,Bones Hyland,23,LAC,PG,37,5,540,97,251,.386,44,135,.326,53,116,.457,.474,18,23,.783,5,50,55,93,26,4,44,51,256,0,,hylanbo01
311,Mo Bamba,25,PHI,C,57,17,740,97,198,.490,25,64,.391,72,134,.537,.553,34,50,.680,77,161,238,41,22,60,39,101,253,0,,bambamo01
312,Caleb Houstan,21,ORL,SF,59,13,815,80,206,.388,72,193,.373,8,13,.615,.563,21,26,.808,28,56,84,29,15,4,16,61,253,0,,houstca01
313,A.J. Green,24,MIL,SG,56,0,614,83,196,.423,69,169,.408,14,27,.519,.599,17,19,.895,9,55,64,30,9,4,12,49,252,0,,greenaj01
314,Ben Sheppard,22,IND,SG,57,1,814,90,229,.393,49,156,.314,41,73,.562,.500,23,26,.885,15,74,89,53,33,2,15,88,252,0,,sheppbe01
315,Jared Butler,23,WAS,SG,40,0,566,98,201,.488,24,78,.308,74,123,.602,.547,31,36,.861,9,49,58,126,29,8,50,58,251,0,,butleja02
316,Troy Brown Jr.,24,2TM,SF,59,15,827,84,226,.372,47,141,.333,37,85,.435,.476,32,37,.865,25,119,144,60,24,3,30,42,247,0,,browntr01
316,Troy Brown Jr.,24,MIN,SF,37,3,410,52,118,.441,31,84,.369,21,34,.618,.572,19,22,.864,14,58,72,35,8,2,18,26,154,0,,browntr01
316,Troy Brown Jr.,24,DET,SF,22,12,417,32,108,.296,16,57,.281,16,51,.314,.370,13,15,.867,11,61,72,25,16,1,12,16,93,0,,browntr01
317,Mason Plumlee,33,LAC,C,46,11,674,87,153,.569,0,6,.000,87,147,.592,.569,70,99,.707,60,174,234,55,14,17,36,68,244,0,,plumlma01
318,Mark Williams,22,CHO,C,19,19,508,98,151,.649,0,0,,98,151,.649,.649,46,64,.719,76,108,184,22,16,20,17,50,242,0,,willima07
319,Brice Sensabaugh,20,UTA,SF,32,11,584,85,218,.390,34,115,.296,51,103,.495,.468,37,41,.902,16,86,102,55,13,6,47,43,241,0,,sensabr01
320,Gary Payton II,31,GSW,SG,44,0,680,103,183,.563,20,55,.364,83,128,.648,.617,14,23,.609,46,67,113,48,39,18,27,77,240,0,,paytoga02
321,John Konchar,27,MEM,SF,55,23,1173,88,208,.423,38,120,.317,50,88,.568,.514,21,25,.840,72,185,257,110,51,51,46,76,235,0,,konchjo01
322,Justin Holiday,34,DEN,SG,58,9,862,88,194,.454,55,136,.404,33,58,.569,.595,3,4,.750,9,62,71,67,36,9,14,69,234,0,,holidju01
323,Chris Duarte,26,SAC,SF,59,11,719,80,210,.381,44,127,.346,36,83,.434,.486,26,33,.788,26,80,106,44,28,8,26,80,230,0,,duartch01
324,Julian Strawther,21,DEN,SF,50,0,545,82,222,.369,41,138,.297,41,84,.488,.462,22,31,.710,5,56,61,47,17,7,23,54,227,0,,strawju01
325,Ja Morant,24,MEM,PG,9,9,318,80,170,.471,14,51,.275,66,119,.555,.512,52,64,.813,6,44,50,73,7,5,27,19,226,0,,moranja01
326,Seth Curry,33,2TM,SG,44,4,616,80,204,.392,38,108,.352,42,96,.438,.485,28,31,.903,18,50,68,44,22,6,21,39,226,0,,curryse01
326,Seth Curry,33,DAL,SG,36,3,457,54,145,.372,29,80,.363,25,65,.385,.472,17,19,.895,15,37,52,30,17,3,16,32,154,0,,curryse01
326,Seth Curry,33,CHO,SG,8,1,159,26,59,.441,9,28,.321,17,31,.548,.517,11,12,.917,3,13,16,14,5,3,5,7,72,0,,curryse01
327,Sasha Vezenkov,28,SAC,PF,42,0,511,84,191,.440,45,120,.375,39,71,.549,.558,12,15,.800,30,66,96,19,20,7,12,42,225,0,,vezenal01
328,KJ Martin,23,2TM,SF,60,2,746,97,181,.536,8,28,.286,89,153,.582,.558,22,41,.537,41,90,131,51,22,12,32,100,224,0,,martike04
328,KJ Martin,23,LAC,SF,2,0,31,4,10,.400,1,5,.200,3,5,.600,.450,1,2,.500,1,2,3,1,2,1,2,3,10,0,,martike04
328,KJ Martin,23,PHI,SF,58,2,715,93,171,.544,7,23,.304,86,148,.581,.564,21,39,.538,40,88,128,50,20,11,30,97,214,0,,martike04
329,Bol Bol,24,PHO,PF,43,0,469,93,151,.616,22,52,.423,71,99,.717,.689,15,19,.789,32,105,137,17,10,25,19,42,223,0,,bolbo01
330,Kevin Knox,24,DET,SF,31,11,560,86,186,.462,31,94,.330,55,92,.598,.546,20,22,.909,18,57,75,23,13,7,22,50,223,0,,knoxke01
331,Omer Yurtseven,25,UTA,C,48,12,545,99,184,.538,5,24,.208,94,160,.588,.552,19,28,.679,72,136,208,29,8,18,37,52,222,0,,yurtsom01
332,Evan Fournier,31,2TM,SG,32,0,580,79,221,.357,33,130,.254,46,91,.505,.432,29,36,.806,5,53,58,48,29,7,21,48,220,0,,fournev01
332,Evan Fournier,31,NYK,SG,3,0,39,4,20,.200,2,15,.133,2,5,.400,.250,2,2,1.000,0,4,4,3,4,0,1,4,12,0,,fournev01
332,Evan Fournier,31,DET,SG,29,0,541,75,201,.373,31,115,.270,44,86,.512,.450,27,34,.794,5,49,54,45,25,7,20,44,208,0,,fournev01
333,Thomas Bryant,26,MIA,C,38,4,441,86,149,.577,4,22,.182,82,127,.646,.591,41,47,.872,40,101,141,23,10,16,21,46,217,0,,bryanth01
334,Shake Milton,27,3TM,SG,48,0,581,79,195,.405,18,64,.281,61,131,.466,.451,40,49,.816,14,61,75,60,19,6,31,54,216,0,,miltosh01
334,Shake Milton,27,MIN,SG,38,0,491,64,160,.400,14,53,.264,50,107,.467,.444,36,44,.818,7,44,51,50,16,5,28,44,178,0,,miltosh01
334,Shake Milton,27,DET,SG,4,0,63,11,26,.423,3,9,.333,8,17,.471,.481,2,3,.667,7,11,18,6,2,1,3,3,27,0,,miltosh01
334,Shake Milton,27,NYK,SG,6,0,27,4,9,.444,1,2,.500,3,7,.429,.500,2,2,1.000,0,6,6,4,1,0,0,7,11,0,,miltosh01
335,Tari Eason,22,HOU,PF,22,0,480,88,189,.466,18,50,.360,70,139,.504,.513,21,33,.636,46,107,153,27,31,19,20,51,215,0,,easonta01
336,Jalen Wilson,23,BRK,PF,43,3,664,76,179,.425,24,74,.324,52,105,.495,.492,38,46,.826,47,84,131,45,11,4,19,48,214,0,,wilsoja03
337,MarJon Beauchamp,23,MIL,SF,48,1,608,81,166,.488,30,75,.400,51,91,.560,.578,19,28,.679,22,77,99,31,13,7,27,54,211,0,,beaucma01
338,Cody Martin,28,CHO,SF,28,22,753,82,215,.381,27,86,.314,55,129,.426,.444,20,33,.606,19,90,109,104,32,18,44,48,211,0,,martico01
339,Delon Wright,31,2TM,PG,47,1,742,74,188,.394,25,68,.368,49,120,.408,.460,37,45,.822,19,67,86,119,54,11,14,32,210,0,,wrighde01
339,Delon Wright,31,WAS,PG,33,0,456,48,122,.393,14,38,.368,34,84,.405,.451,24,29,.828,13,46,59,82,35,8,11,22,134,0,,wrighde01
339,Delon Wright,31,MIA,PG,14,1,286,26,66,.394,11,30,.367,15,36,.417,.477,13,16,.813,6,21,27,37,19,3,3,10,76,0,,wrighde01
340,Dwight Powell,32,DAL,C,63,9,836,72,106,.679,1,3,.333,71,103,.689,.684,63,89,.708,97,117,214,84,26,20,32,113,208,0,,poweldw01
341,Eugene Omoruyi,26,WAS,SF,43,0,393,81,167,.485,13,46,.283,68,121,.562,.524,32,49,.653,35,50,85,35,27,5,21,62,207,0,,omorueu01
342,Oshae Brissett,25,BOS,SF,55,1,630,68,153,.444,15,55,.273,53,98,.541,.493,50,83,.602,61,99,160,44,19,8,20,54,201,0,,brissos01
343,JT Thor,21,CHO,PF,63,3,781,80,183,.437,28,81,.346,52,102,.510,.514,11,20,.550,43,103,146,29,11,27,15,60,199,0,,thorjt01
344,Richaun Holmes,30,2TM,C,40,10,555,82,147,.558,1,3,.333,81,144,.563,.561,34,47,.723,71,111,182,25,11,19,24,74,199,0,,holmeri01
344,Richaun Holmes,30,DAL,C,23,2,237,33,59,.559,0,0,,33,59,.559,.559,12,21,.571,33,45,78,15,3,9,12,33,78,0,,holmeri01
344,Richaun Holmes,30,WAS,PF,17,8,318,49,88,.557,1,3,.333,48,85,.565,.563,22,26,.846,38,66,104,10,8,10,12,41,121,0,,holmeri01
345,Keita Bates-Diop,28,2TM,SF,53,8,665,72,166,.434,21,69,.304,51,97,.526,.497,32,42,.762,31,79,110,38,25,22,15,35,197,0,,bateske01
345,Keita Bates-Diop,28,PHO,SF,39,8,597,64,150,.427,20,64,.313,44,86,.512,.493,26,36,.722,30,71,101,34,22,20,13,33,174,0,,bateske01
345,Keita Bates-Diop,28,BRK,SF,14,0,68,8,16,.500,1,5,.200,7,11,.636,.531,6,6,1.000,1,8,9,4,3,2,2,2,23,0,,bateske01
346,Jordan McLaughlin,27,MIN,PG,56,0,626,70,145,.483,42,89,.472,28,56,.500,.628,13,18,.722,18,54,72,110,35,7,19,31,195,0,,mclaujo01
347,Maxi Kleber,32,DAL,C,43,7,871,63,146,.432,32,92,.348,31,54,.574,.541,33,47,.702,30,113,143,68,17,30,28,79,191,0,,klebima01
348,Derrick Rose,35,MEM,PG,24,7,399,76,165,.461,15,41,.366,61,124,.492,.506,24,27,.889,7,38,45,78,8,2,31,21,191,0,,rosede01
349,Sandro Mamukelashvili,24,SAS,C,46,5,451,73,155,.471,19,64,.297,54,91,.593,.532,25,34,.735,45,102,147,49,7,12,19,35,190,0,,mamuksa01
350,Anthony Gill,31,WAS,PF,50,3,466,75,160,.469,10,41,.244,65,119,.546,.500,29,36,.806,37,57,94,34,13,11,23,48,189,0,,gillan01
351,Zeke Nnaji,23,DEN,PF,58,0,576,69,149,.463,6,23,.261,63,126,.500,.483,42,62,.677,61,65,126,32,15,38,27,81,186,0,,nnajize01
352,JaVale McGee,36,SAC,C,46,0,339,79,132,.598,1,7,.143,78,125,.624,.602,26,45,.578,42,84,126,17,14,20,34,46,185,0,,mcgeeja01
353,Dalen Terry,21,CHI,SG,59,2,681,69,157,.439,17,74,.230,52,83,.627,.494,25,43,.581,29,84,113,81,27,18,32,81,180,0,,terryda01
354,Luka Šamanić,24,UTA,PF,43,7,404,60,158,.380,13,64,.203,47,94,.500,.421,44,56,.786,22,80,102,19,5,7,28,32,177,0,,samanlu01
355,Bismack Biyombo,31,2TM,C,40,27,791,74,131,.565,0,0,,74,131,.565,.565,26,54,.481,62,147,209,53,11,37,42,89,174,0,,biyombi01
355,Bismack Biyombo,31,MEM,C,30,27,718,67,119,.563,0,0,,67,119,.563,.563,22,46,.478,57,134,191,51,10,34,38,82,156,0,,biyombi01
355,Bismack Biyombo,31,OKC,C,10,0,73,7,12,.583,0,0,,7,12,.583,.583,4,8,.500,5,13,18,2,1,3,4,7,18,0,,biyombi01
356,Ricky Council IV,22,PHI,SG,32,0,289,54,112,.482,12,32,.375,42,80,.525,.536,53,71,.746,14,32,46,16,8,1,5,17,173,0,,councri01
357,Jacob Gilyard,25,2TM,PG,41,14,699,60,150,.400,51,126,.405,9,24,.375,.570,2,2,1.000,9,37,46,137,33,5,30,39,173,0,,gilyaja01
357,Jacob Gilyard,25,MEM,PG,37,14,654,60,144,.417,51,120,.425,9,24,.375,.594,2,2,1.000,8,35,43,131,27,5,29,35,173,0,,gilyaja01
357,Jacob Gilyard,25,BRK,PG,4,0,45,0,6,.000,0,6,.000,0,0,,.000,0,0,,1,2,3,6,6,0,1,4,0,0,,gilyaja01
358,Mitchell Robinson,25,NYK,C,31,21,768,73,127,.575,0,0,,73,127,.575,.575,27,66,.409,142,121,263,18,37,35,25,55,173,0,,robinmi01
359,Trey Jemison,24,2TM,C,25,14,573,75,136,.551,0,0,,75,136,.551,.551,21,25,.840,64,70,134,27,12,28,34,69,171,0,,jemistr01
359,Trey Jemison,24,WAS,C,2,0,1,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,0,1,0,0,0,,jemistr01
359,Trey Jemison,24,MEM,C,23,14,572,75,136,.551,0,0,,75,136,.551,.551,21,25,.840,64,69,133,27,12,28,33,69,171,0,,jemistr01
360,Jalen McDaniels,26,TOR,SF,50,1,538,65,189,.344,12,71,.169,53,118,.449,.376,27,37,.730,18,61,79,37,19,6,30,52,169,0,,mcdanja01
361,Patrick Baldwin Jr.,21,WAS,SF,38,7,493,59,155,.381,31,97,.320,28,58,.483,.481,19,28,.679,17,106,123,29,18,15,19,56,168,0,,baldwpa01
362,Brandon Boston Jr.,22,LAC,SF,32,0,345,65,161,.404,14,52,.269,51,109,.468,.447,23,33,.697,19,33,52,13,11,8,24,40,167,0,,bostobr01
363,Lester Quiñones,23,GSW,SG,37,0,394,56,141,.397,32,88,.364,24,53,.453,.511,20,29,.690,21,51,72,36,6,2,17,44,164,0,,quinole01
364,Monte Morris,28,2TM,PG,33,0,476,62,153,.405,27,70,.386,35,83,.422,.493,13,19,.684,7,50,57,69,19,9,7,14,164,0,,morrimo01
364,Monte Morris,28,DET,PG,6,0,68,12,33,.364,2,11,.182,10,22,.455,.394,1,2,.500,2,10,12,8,1,1,2,1,27,0,,morrimo01
364,Monte Morris,28,MIN,PG,27,0,408,50,120,.417,25,59,.424,25,61,.410,.521,12,17,.706,5,40,45,61,18,8,5,13,137,0,,morrimo01
365,Jaden Springer,21,2TM,SG,49,2,507,59,148,.399,10,48,.208,49,100,.490,.432,35,42,.833,33,45,78,44,36,15,34,66,163,0,,sprinja01
365,Jaden Springer,21,PHI,SG,32,1,377,46,118,.390,8,37,.216,38,81,.469,.424,28,34,.824,25,33,58,35,25,11,26,49,128,0,,sprinja01
365,Jaden Springer,21,BOS,SG,17,1,130,13,30,.433,2,11,.182,11,19,.579,.467,7,8,.875,8,12,20,9,11,4,8,17,35,0,,sprinja01
366,Svi Mykhailiuk,26,BOS,SF,41,2,413,57,137,.416,42,108,.389,15,29,.517,.569,6,9,.667,11,40,51,35,11,1,12,19,162,0,,mykhasv01
367,Tristan Thompson,32,CLE,C,49,0,549,73,120,.608,0,1,.000,73,119,.613,.608,15,52,.288,73,101,174,51,12,14,29,59,161,0,,thomptr01
368,Mike Muscala,32,3TM,C,53,6,600,56,156,.359,28,96,.292,28,60,.467,.449,17,25,.680,39,86,125,36,9,13,22,52,157,0,,muscami01
368,Mike Muscala,32,WAS,C,24,2,338,33,90,.367,14,51,.275,19,39,.487,.444,15,20,.750,22,53,75,22,5,7,16,31,95,0,,muscami01
368,Mike Muscala,32,DET,C,13,4,171,15,44,.341,13,34,.382,2,10,.200,.489,2,4,.500,10,19,29,10,3,5,2,13,45,0,,muscami01
368,Mike Muscala,32,OKC,C,16,0,91,8,22,.364,1,11,.091,7,11,.636,.386,0,1,.000,7,14,21,4,1,1,4,8,17,0,,muscami01
369,Rayan Rupert,19,POR,SG,39,12,633,54,161,.335,28,78,.359,26,83,.313,.422,19,25,.760,24,68,92,62,12,3,31,56,155,0,,ruperra01
370,Skylar Mays,26,2TM,PG,38,5,433,63,159,.396,16,54,.296,47,105,.448,.447,13,17,.765,10,33,43,85,21,4,20,26,155,0,,mayssk01
370,Skylar Mays,26,POR,PG,21,5,356,53,138,.384,14,49,.286,39,89,.438,.435,13,17,.765,9,28,37,75,14,3,18,20,133,0,,mayssk01
370,Skylar Mays,26,LAL,SG,17,0,77,10,21,.476,2,5,.400,8,16,.500,.524,0,0,,1,5,6,10,7,1,2,6,22,0,,mayssk01
371,Neemias Queta,24,BOS,C,28,0,333,67,104,.644,0,0,,67,104,.644,.644,20,28,.714,53,69,122,20,13,21,13,50,154,0,,quetane01
372,Javon Freeman-Liberty,24,TOR,PG,22,6,403,55,124,.444,10,42,.238,45,82,.549,.484,33,36,.917,16,54,70,40,10,4,25,28,153,0,,freemja01
373,Johnny Davis,21,WAS,SG,50,6,613,62,154,.403,14,40,.350,48,114,.421,.448,14,24,.583,18,54,72,32,18,10,13,57,152,0,,davisjo06
